,text
6,"Forsale1     Desktop Case, 200 Watt power supply 2 internal 5 1/4"" bays and       2 external 5 1/4"" origanaly Dell System 200 case. looks real good      all hardware included.      I would like $80 + shipping or best offer.1     Western Digital MFM controler, 16 bit 2 floppy 2 hard, never had a      problem with it.       I would like  $30 + shipping or best offer.1     Game card, works well nothing fancy just a joystick port.       I would like $10 + shipping or best offer.1     INNOVATION Game / Sound Card, Has one game port and an adlib port.      I never used it. ( I got a soundblaster cheep before I installed it)      I would like $5 + shipping All offers considered, Buyer pays shipping.please resopnd to klwright@eos.ncsu.eduor(919) 834-3290 "
7,1985.5 Porsche 944    - Turbo trim (spoilers)    - graphite black    - all around excellent condition    - removable factory sunroof    - leather interior    - new A/C    - new timing belt    - bra    - 90k miles$9900 OBO- Patrick
11,"For those Leaf fans who are concerned, the following players are slated forreturn on Thursday's Winnipeg-Toronto game :    Peter Zezel, John Cullen  Mark Osborne and Dave Ellett are questionable to return on Thursday."
21,"In-Reply-To: <20APR199312262902@rigel.tamu.edu> lmp8913@rigel.tamu.edu (PRESTON, LISA M)"
24,"For Sale:      Tektronix 4208 Color Terminal      Tektronix 4510A Rasterizer      Tektronix 4692 InkJet Printer      Tektronix 4692 Printer Extras (all Tektronix products):        Paper (> 3 boxes)        Transparencies (> 2 boxes)        Maintenance Cartridges (2 cart)        Magenta Ink Cartridge (1 cart)  We would like to sell as a single lot, and preference  will be given to offers for the entire list.  All offers  accepted, best offer gets the equipment.  -- Bob"
30,I believe that was 4-1.  Rod Brind-Amour scored at 19.59 of the third.--
33,"**********************************************************************		      2ND CALL FOR PRESENTATIONS	      NAVY SCIENTIFIC VISUALIZATION AND VIRTUAL REALITY SEMINAR			Tuesday, June 22, 1993	    Carderock Division, Naval Surface Warfare Center	      (formerly the David Taylor Research Center)			  Bethesda, Maryland**********************************************************************SPONSOR: NESS (Navy Engineering Software System) is sponsoring a one-day Navy Scientific Visualization and Virtual Reality Seminar.  The purpose of the seminar is to present and exchange information forNavy-related scientific visualization and virtual reality programs, research, developments, and applications.PRESENTATIONS: Presentations are solicited on all aspects of Navy-related scientific visualization and virtual reality.  All current work, works-in-progress, and proposed work by Navy organizations will be considered.  Four types of presentations are available.     1. Regular presentation: 20-30 minutes in length     2. Short presentation: 10 minutes in length     3. Video presentation: a stand-alone videotape (author need not 	attend the seminar)     4. Scientific visualization or virtual reality demonstration (BYOH)Accepted presentations will not be published in any proceedings, however, viewgraphs and other materials will be reproduced for seminar attendees.ABSTRACTS: Authors should submit a one page abstract and/or videotape to:     Robert Lipman     Naval Surface Warfare Center, Carderock Division     Code 2042     Bethesda, Maryland  20084-5000     VOICE (301) 227-3618;  FAX (301) 227-5753       E-MAIL  lipman@oasys.dt.navy.milAuthors should include the type of presentation, their affiliations, addresses, telephone and FAX numbers, and addresses.  Multi-author papers should designate one point of contact.**********************************************************************DEADLINES: The abstact submission deadline is April 30, 1993.  Notification of acceptance will be sent by May 14, 1993.  Materials for reproduction must be received by June 1, 1993.**********************************************************************For further information, contact Robert Lipman at the above address.**********************************************************************	  PLEASE DISTRIBUTE AS WIDELY AS POSSIBLE, THANKS.**********************************************************************Robert Lipman                     | Internet: lipman@oasys.dt.navy.milDavid Taylor Model Basin - CDNSWC |       or: lip@ocean.dt.navy.milComputational Signatures and      | Voicenet: (301) 227-3618   Structures Group, Code 2042    | Factsnet: (301) 227-5753Bethesda, Maryland  20084-5000    | Phishnet: stockings@long.legs"
38,"Ethnocentric USian that I am, I've assumed that we and thexUSSR were the only countries with significant capabilities to tracknon-cooperative objects in low Earth orbit. Grazing in a couple of databases recently,  I found that Japan has some optical capabilitiesalong this line, and also uses a radar designed for other purposesfor orbital debris surveys (it isn't clear whether the radar can determine orbital elements for the objects it detects). Abstracts of the articles are appended.     This leads to the more general question: do yet other people than the US, Russia, and Japan do space surveillance, and if so, how and why? Allen Thomson              SAIC                        McLean, VA, USA-----------------------------------------------------------------------                         ABSTRACTSOptical tracking of the experimental geodetic satellite (EGS)TAKABE, MASAO; ITABE, TOSHIKAZU; ARUGA, TADASHIRadio Research Laboratory, Review (ISSN 0033-801X), vol. 34,March 1988, p. 23-34. In Japanese, with abstract in English.     This paper reports the optical tracking results of EGS(experimental geodetic satellite) which was launched on August 13,1986, by NASDA. The EGS optical tracking experiment process and anoutline of the Radio Research Laboratory (RRL) optical ground       <----station are discussed. A star tracking technique for opticalequipment calibration and satellite tracking technique for orbitprediction improvement are also described. The accuracy of EGStracking data obtained by RRL at the request of NASDA is alsodiscussed. In addition, it is briefly demonstrated that theposition of the Japanese amateur satellite (JAS-1) which waslaunched with the EGS, was accurately determined by means of a      <----satellite tracking video. It is clear from this experiment that     <----optical observation data (i.e., satellite direction data) are very  <----useful for satellite orbit determination during initial launch      <----stages. Furthermore, the results confirm the effectivenes of these  <----two satellite optical tracking techniques.                          <----MU radar measurements of orbital debrisSATO, TORU; KAYAMA, HIDETOSHI; FURUSAWA, AKIRA; KIMURA, IWANE(Kyoto University, Japan)AIAA, NASA, and DOD, Orbital Debris Conference: Technical Issues and Future Directions, Baltimore, MD, Apr. 16-19, 1990. 10 p. RPN: AIAA PAPER 90-1343     Distributions of orbital debris versus height and scattering cross section are determined from a series of observations made with a high-power VHF Doppler radar (MU radar) of Japan. An automated data processing algorithm has been developed to discriminate echoes of orbiting objects from those of undesired signals such as meteor trail echoes or lightning atmospherics. Although the results are preliminary, they showed good agreement with those from NORAD tracking radar      <----observations using a much higher frequency. It is found that the     <----collision frequency of a Space Station of 1 km x 1 km size at an altitude of 500 km with orbiting debris is expected to be as high as once per two years. Monitoring of the MU radar antenna pattern by Satellite Ohzora (EXOS-C)SATO, T.; INOOKA, Y.; FUKAO, S. (Kyoto Univ., Japan); KATO, S.Kyoto Univ., Uji (Japan). Radio Atmospheric Science Center.In International Council of Scientific Unions, Middle Atmosphere Program.Handbook for MAP, Vol. 20 5 pPublication Date: Jun. 1986      As the first attempt among MST (mesosphere stratosphere troposphere) type radars, the MU (middle and upper atmosphere) radar features an active phased array system. Unlike the conventional large VHF radars, in which output power of a large vacuum tube is distributed to individual antenna elements, each of 475 solid state power amplifier feeds each antenna element. This system configuration enables very fast beam steering as well as various flexible operations by dividing the antenna into independent subarrays, because phase shift and signal division/combination are performed at a low signal level using electronic devices under control of a computer network. The antenna beam can be switched within 10 microsec to any direction within the zenith angle of 30 deg. Since a precise phase alignment of each element is crucial to realize the excellent performance of this system, careful calibration of the output phase of each power amplifier and antenna element was carried out. Among various aircraft which may be used for this purpose artificial satellites have an advantage of being able to make a long term monitoring with the same system. An antenna pattern monitoring system for the MU radar was developed using the scientific satellite OHZORA (EXOS-C). A receiver named MUM (MU radar antenna Monitor) on board the satellite measures a CW signal of 100 to 400 watts transmitted from the MU radar. The principle of the measurement and results are discussed."
44,"Tektronix 453 scope for sale:  - 50MHz bandwidth  - portable (NOT one of the 5xx series boatanchors! :^)  - delayed sweep  - works fine  - I don't have the manual (they are available from various places)  - no probes  - $275 + shippingEmail me for more info...Regards,Keith"
46,"*******************************************************                   1969 karmann ghia*******************************************************This car is in excellent running condition:               *********  *49,000 mi on new engine  *new tires (Aug 92)  *new clutch (91)  *new carb (91)  *original radio (am/fm)  *upholstery in great shape  *burgundy exterior/ black interiorThis car has been well-maintained with regular tune-ups.Unfortunately, the car's previous owner had a minorfront-end collision.  The right front nose is dentedand patched up with bondo.  I have the hard-to-find partneeded to repair this damage.  Besides that damage, the caris in excellent condition. $1600/bo"
